time,ps,energy,rapl,flops
5.516395,12000,714.653,1141.49,6.94E+11
5.566372,12064,693.46,1168.04,7.05E+11
5.667898,12128,682.937,1189.34,7.17E+11
5.766793,12192,656.139,1211.55,7.28E+11
5.826854,12256,639.856,1255.34,7.40E+11
5.9828,12320,628.327,1286.63,7.51E+11
6.008686,12384,639.617,1291.61,7.63E+11
6.077464,12448,1046.13,1298.29,7.75E+11
6.167994,12512,1015.67,1327.29,7.87E+11
6.268187,12576,1063.46,1333.58,7.99E+11
6.3089,12640,972.391,1331.59,8.11E+11
6.457095,12704,880.438,1373.05,8.24E+11
6.533028,12768,945.753,1364.95,8.36E+11
6.595905,12832,923.129,1389.91,8.49E+11
6.709563,12896,895.351,1404.92,8.62E+11
6.798937,12960,882.308,1439.21,8.75E+11
6.893136,13024,874.688,1489.63,8.87E+11
6.983517,13088,860.693,1516.27,9.01E+11
7.099076,13152,1171.98,1517.93,9.14E+11
7.195851,13216,1237.19,1544.15,9.27E+11
7.303976,13280,1204.34,1551.76,9.41E+11
7.401955,13344,1187.2,1589.46,9.55E+11
7.469412,13408,1146.12,1580.6,9.68E+11
7.585453,13472,1134.41,1604.51,9.82E+11
7.655229,13536,1152.16,1608.59,9.96E+11
7.764675,13600,1084.91,1693.68,1.01E+12
7.907649,13664,1061,1693.21,1.02E+12
7.956271,13728,984.55,1711.72,1.04E+12
8.104992,13792,1495,1730.67,1.05E+12
8.228231,13856,1501.31,1754.82,1.07E+12
8.320272,13920,1463.98,1761.66,1.08E+12
8.470753,13984,1402.88,1787.66,1.10E+12
8.555344,14048,1409.14,1811.93,1.11E+12
8.665547,14112,1382.78,1818.27,1.13E+12
8.742416,14176,1360.29,1870.49,1.14E+12
8.902053,14240,1363.67,1923.27,1.16E+12
9.010026,14304,1221.16,1934.93,1.18E+12
9.153749,14368,1713.17,1936.54,1.19E+12
9.245604,14432,1740.61,1975.61,1.21E+12
9.328898,14496,1702.53,1984.69,1.22E+12
9.438609,14560,1644.04,1998.33,1.24E+12
9.555373,14624,1631.51,2023.37,1.26E+12
9.670506,14688,1593.36,2076.46,1.27E+12
9.796515,14752,1617.9,2098.77,1.29E+12
9.924548,14816,1573.8,2135.07,1.31E+12
10.017331,14880,1599.23,2148.25,1.32E+12
10.161791,14944,1559.74,2183.85,1.34E+12
10.269896,15008,1516.35,2193.86,1.36E+12
10.408665,15072,1613.82,2247.25,1.38E+12
10.543128,15136,1564.14,2242.59,1.39E+12
10.689789,15200,1481.71,2257.79,1.41E+12
10.823366,15264,1484.52,2315.48,1.43E+12
10.92511,15328,1442.91,2340.1,1.45E+12
11.079367,15392,1441.68,2375.29,1.46E+12
11.158753,15456,1410.85,2396.66,1.48E+12
11.345638,15520,1327,2407.15,1.50E+12
11.450793,15584,1259.8,2444.42,1.52E+12
11.576762,15648,1315.56,2447.67,1.54E+12
11.667213,15712,1306.33,2494,1.56E+12
11.848738,15776,1218.25,2555.72,1.58E+12
11.99502,15840,1517.83,2552.09,1.60E+12
12.099439,15904,2085.18,2615.8,1.62E+12
12.277022,15968,2028.34,2622.76,1.64E+12
12.452602,16032,2083.25,2642.08,1.66E+12
12.610975,16096,1960.04,2669.16,1.68E+12
12.793722,16160,1859.77,2735.84,1.70E+12
12.92642,16224,1903.93,2755.88,1.72E+12
13.073431,16288,1835.49,2804.19,1.74E+12
13.23723,16352,1863.56,2818.28,1.76E+12
13.356631,16416,1753.38,2831.35,1.78E+12
13.46873,16480,1805.05,2850.71,1.80E+12
13.594526,16544,1762.51,2878.88,1.82E+12
13.766622,16608,1745.17,2974.74,1.84E+12
13.996315,16672,1774.74,2968.85,1.86E+12
14.077817,16736,2485.79,3020.4,1.88E+12
14.231376,16800,2506.45,3032.62,1.90E+12
14.293384,16864,2491.55,3065.84,1.93E+12
